	A1	A2	A3	A4	A5	B1	B2	B3	B4	B5	B6
gene_1	2	60	143	47	74	6	16	8	3	48	10
gene_2	407	2	4	66	62	2	5	3	9	22	20
gene_3	94	55	100	87	82	23	9	14	14	17	9
gene_4	33	45	20	40	41	16	17	19	7	18	9
gene_5	6	4	2	2	2	0	1	0	0	0	3
gene_6	447	136	331	150	283	115	94	52	100	49	184
gene_7	512	2432	2633	2708	3541	1146	970	434	378	552	103
gene_8	264	261	286	454	191	87	67	61	73	57	73
gene_9	45	74	52	55	64	20	12	17	13	14	7
gene_10	167	124	332	99	82	21	70	77	53	53	51
gene_11	69	100	80	83	52	14	28	19	20	24	19
gene_12	449	547	572	641	685	115	123	150	266	122	147
gene_13	226	189	193	159	187	106	95	93	96	37	75
gene_14	83	6	0	1	1	6	7	2	15	1	1
gene_15	282	196	206	224	258	37	54	38	69	52	70
gene_16	605	382	378	574	685	100	70	123	65	64	122
gene_17	789	821	1844	556	986	238	170	332	316	225	238
gene_18	93	155	92	145	156	19	21	31	25	19	23
gene_19	24	16	23	21	33	7	6	3	14	6	4
gene_20	1	2	15	0	0	5	0	0	3	0	2
gene_21	28	2	0	1	22	17	5	0	0	0	1
gene_22	88	64	112	55	67	16	10	7	21	19	15
gene_23	1012	841	801	751	874	154	183	276	229	207	272
gene_24	9	7	6	2	12	1	0	13	1	8	1
gene_25	25	10	8	6	17	0	3	7	0	3	2
gene_26	308	286	251	263	288	82	58	73	57	58	57
gene_27	60	2	19	32	32	1	0	2	5	22	1
gene_28	190	176	215	128	178	30	59	21	39	19	42
gene_29	0	0	2	8	14	1	2	1	3	3	1
gene_30	125	66	17	22	59	35	37	65	15	33	24
gene_31	529	840	986	799	400	189	374	171	568	148	180
gene_32	371	201	423	108	111	47	70	28	45	90	49
gene_33	33	11	1	13	3	0	0	0	0	4	0
gene_34	133	168	142	126	112	36	42	45	35	31	26
gene_35	64	112	56	56	63	23	19	17	16	9	22
gene_36	18	2	30	27	113	2	2	1	14	31	21
gene_37	307	101	52	220	517	33	18	48	81	22	62
gene_38	505	404	106	281	754	173	134	18	53	24	88
gene_39	561	389	1480	698	986	513	65	13	121	131	154
gene_40	1413	1253	1284	1245	1471	372	274	411	390	315	327
gene_41	63	85	69	20	78	22	15	18	48	26	1
gene_42	2005	1968	1971	1577	1188	459	553	550	260	109	498
gene_43	35	30	72	93	50	27	4	9	15	13	9
gene_44	180	92	291	270	311	42	13	35	50	89	29
gene_45	110	107	116	99	171	41	34	35	28	37	19
gene_46	289	181	213	284	289	66	56	50	59	57	57
gene_47	9	0	7	71	5	0	3	3	0	0	0
gene_48	526	660	500	443	477	68	66	115	86	51	33
gene_49	0	1	3	55	17	6	20	1	1	0	1
gene_50	4	4	1	1	12	5	3	2	0	3	15
gene_51	253	1	2	0	341	11	13	6	17	0	1
gene_52	45	48	47	40	50	14	12	13	5	11	23
gene_53	4	0	1	2	0	0	0	0	0	0	0
gene_54	0	66	80	67	0	0	2	1	12	11	3
gene_55	212	271	96	38	101	46	31	14	45	21	28
gene_56	217	105	129	175	111	16	28	43	39	31	34
gene_57	5531	6061	4875	7372	4551	1655	1614	1244	1467	1353	1342
gene_58	13	5	18	6	82	22	11	5	2	11	7
gene_59	10	11	0	7	9	1	2	7	1	0	2
gene_60	86	49	102	30	91	32	13	35	20	13	10
gene_61	3	1	4	1	4	0	0	0	1	0	1
gene_62	79	140	103	81	119	19	15	27	19	20	20
gene_63	3820	3457	3069	4037	2715	712	1071	854	783	988	799
gene_64	29	18	6	6	4	1	4	7	3	1	2
gene_65	102	60	88	81	28	22	18	20	23	17	23
gene_66	376	332	398	291	349	85	94	98	100	84	105
gene_67	18	39	90	10	29	29	30	5	17	3	32
gene_68	83	125	96	25	79	7	2	9	58	10	8
gene_69	71	98	8	24	47	13	0	10	19	21	18
gene_70	166	132	183	264	84	51	67	47	28	28	37
gene_71	15	8	16	16	7	3	6	24	3	1	21
gene_72	13	13	16	4	4	0	1	0	0	10	0
gene_73	8	68	0	133	0	0	0	8	6	0	0
gene_74	34	34	43	35	34	9	8	7	9	11	8
gene_75	534	507	591	472	396	126	65	136	99	102	102
gene_76	232	242	111	246	312	67	115	111	88	42	78
gene_77	4	0	15	3	5	1	3	0	1	0	0
gene_78	216	41	214	84	146	33	41	69	49	36	34
gene_79	23	0	3	35	0	4	0	9	5	0	5
gene_80	473	590	697	490	451	179	104	185	157	150	138
gene_81	96	433	192	99	434	23	60	56	9	65	80
gene_82	120	213	236	240	324	32	51	46	35	59	53
gene_83	10435	11764	12512	9346	10147	2181	2384	2821	2681	2513	2310
gene_84	2	0	3	4	0	0	0	0	1	0	0
gene_85	119	296	149	75	99	36	32	43	35	35	38
gene_86	49	61	44	40	30	15	13	16	16	10	5
gene_87	2	55	21	0	40	2	29	2	0	0	1
gene_88	3139	4197	4190	4356	4331	916	1201	1029	953	659	1082
gene_89	29	43	46	10	43	11	12	7	18	3	11
gene_90	0	0	6	1	12	4	2	3	4	0	1
gene_91	17	7	0	1	0	0	0	1	1	0	3
gene_92	41	21	29	34	24	4	14	11	8	8	2
gene_93	51	60	66	66	68	15	10	22	17	21	12
gene_94	13	11	1	79	32	0	3	0	0	2	5
gene_95	26	78	47	23	88	5	12	4	17	13	18
gene_96	3	3	16	6	4	0	1	0	2	0	0
gene_97	23	22	24	12	16	5	6	5	8	4	6
gene_98	479	410	350	662	334	158	128	157	74	173	140
gene_99	92	99	148	33	32	7	4	22	25	22	21
gene_100	779	789	679	704	882	195	237	131	190	163	171
gene_101	1786	1336	2028	1025	1556	416	145	731	676	795	700
gene_102	315	381	356	345	305	82	81	64	62	76	101
gene_103	156	165	250	363	335	20	51	49	60	57	88
